date,value
Wed Jan 01 2014 00:00:00 GMT+0900 (대한민국 표준시),0.7071901306974282
Sat Jan 11 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5124079182563095
Tue Jan 21 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5671171238859103
Fri Jan 31 2014 00:00:00 GMT+0900 (대한민국 표준시),0.2152778756607172
Mon Feb 10 2014 00:00:00 GMT+0900 (대한민국 표준시),0.009455454373122008
Thu Feb 20 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9530982543499242
Sun Mar 02 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5202982818504358
Wed Mar 12 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9878846900254918
Sat Mar 22 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5184377355062177
Tue Apr 01 2014 00:00:00 GMT+0900 (대한민국 표준시),0.25369301220262774
Fri Apr 11 2014 00:00:00 GMT+0900 (대한민국 표준시),0.33049862383303785
Mon Apr 21 2014 00:00:00 GMT+0900 (대한민국 표준시),0.33711626757539737
Thu May 01 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9464531756206462
Sun May 11 2014 00:00:00 GMT+0900 (대한민국 표준시),0.2994155494146413
Wed May 21 2014 00:00:00 GMT+0900 (대한민국 표준시),0.02981608480655229
Sat May 31 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5483162802746688
Tue Jun 10 2014 00:00:00 GMT+0900 (대한민국 표준시),0.4969394184762186
Fri Jun 20 2014 00:00:00 GMT+0900 (대한민국 표준시),0.6945607963654443
Mon Jun 30 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5563616342043831
Thu Jul 10 2014 00:00:00 GMT+0900 (대한민국 표준시),0.24991659857880721
Sun Jul 20 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9857118952169948
Wed Jul 30 2014 00:00:00 GMT+0900 (대한민국 표준시),0.10191781666506072
Sat Aug 09 2014 00:00:00 GMT+0900 (대한민국 표준시),0.054822302922941324
Tue Aug 19 2014 00:00:00 GMT+0900 (대한민국 표준시),0.21137685851639776
Fri Aug 29 2014 00:00:00 GMT+0900 (대한민국 표준시),0.46204366752408954
Mon Sep 08 2014 00:00:00 GMT+0900 (대한민국 표준시),0.013971241217017205
Thu Sep 18 2014 00:00:00 GMT+0900 (대한민국 표준시),0.22149685656276819
Sun Sep 28 2014 00:00:00 GMT+0900 (대한민국 표준시),0.11959739242946599
Wed Oct 08 2014 00:00:00 GMT+0900 (대한민국 표준시),0.2990477526857678
Sat Oct 18 2014 00:00:00 GMT+0900 (대한민국 표준시),0.3854177267113721
Tue Oct 28 2014 00:00:00 GMT+0900 (대한민국 표준시),0.05963147316441275
Fri Nov 07 2014 00:00:00 GMT+0900 (대한민국 표준시),0.3503855134297107
Mon Nov 17 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9470384313729505
Thu Nov 27 2014 00:00:00 GMT+0900 (대한민국 표준시),0.5592292593572643
Sun Dec 07 2014 00:00:00 GMT+0900 (대한민국 표준시),0.7695997905508722
Wed Dec 17 2014 00:00:00 GMT+0900 (대한민국 표준시),0.6566410890944714
Sat Dec 27 2014 00:00:00 GMT+0900 (대한민국 표준시),0.9945984053586898
